Country,Month of Date,YEAR,WEEK,Cases
Nicaragua,01/05/17,2017,19,57
French Guyana,01/05/17,2017,19,84
Guadeloupe,01/05/17,2017,19,5
Costa Rica,01/05/17,2017,19,20
Colombia,01/05/17,2017,19,115
Brazil,01/05/17,2017,19,54095
Saint Barthelemy,01/06/17,2017,23,1
Martinique,01/06/17,2017,23,5
Saint Martin,01/06/17,2017,23,1
Panama,01/06/17,2017,23,200
Mexico,01/06/17,2017,23,2
Bolivia,01/06/17,2017,23,1789
Ecuador,01/06/17,2017,23,70
Peru,01/06/17,2017,23,185
Guatemala,01/06/17,2017,23,77
El Salvador,01/06/17,2017,23,85
Nicaragua,01/06/17,2017,23,96
Guadeloupe,01/06/17,2017,23,4
Costa Rica,01/06/17,2017,23,33
Colombia,01/06/17,2017,23,91
Panama,01/07/17,2017,27,200
Paraguay,01/07/17,2017,27,1
Mexico,01/07/17,2017,27,2
Bolivia,01/07/17,2017,27,63
Peru,01/07/17,2017,27,198
El Salvador,01/07/17,2017,27,48
Nicaragua,01/07/17,2017,27,79
Costa Rica,01/07/17,2017,27,63
Colombia,01/07/17,2017,27,89
Brazil,01/07/17,2017,27,50800
Martinique,01/08/17,2017,32,10
Panama,01/08/17,2017,32,607
Mexico,01/08/17,2017,32,3
Bolivia,01/08/17,2017,32,64
Peru,01/08/17,2017,32,56
Guatemala,01/08/17,2017,32,16
El Salvador,01/08/17,2017,32,30
Nicaragua,01/08/17,2017,32,65
Guadeloupe,01/08/17,2017,32,2
Costa Rica,01/08/17,2017,32,27
Colombia,01/08/17,2017,32,64
Brazil,01/08/17,2017,32,31386
Panama,01/09/17,2017,36,431
Mexico,01/09/17,2017,36,2
Venezuela,01/09/17,2017,36,157
Bolivia,01/09/17,2017,36,30
Ecuador,01/09/17,2017,36,30
Peru,01/09/17,2017,36,122
Guatemala,01/09/17,2017,36,76
El Salvador,01/09/17,2017,36,57
Nicaragua,01/09/17,2017,36,38
French Guyana,01/09/17,2017,36,211
Costa Rica,01/09/17,2017,36,53
Colombia,01/09/17,2017,36,109
Brazil,01/09/17,2017,36,37183
Panama,01/10/17,2017,40,21
Mexico,01/10/17,2017,40,4
Bolivia,01/10/17,2017,40,37
Ecuador,01/10/17,2017,40,5
Peru,01/10/17,2017,40,127
Guatemala,01/10/17,2017,40,29
El Salvador,01/10/17,2017,40,48
Nicaragua,01/10/17,2017,40,28
Costa Rica,01/10/17,2017,40,50
Colombia,01/10/17,2017,40,73
Panama,01/11/17,2017,45,5
Mexico,01/11/17,2017,45,8
Venezuela,01/11/17,2017,45,81
Bolivia,01/11/17,2017,45,14
Ecuador,01/11/17,2017,45,2
Peru,01/11/17,2017,45,15
Guatemala,01/11/17,2017,45,12
El Salvador,01/11/17,2017,45,31
Nicaragua,01/11/17,2017,45,26
Costa Rica,01/11/17,2017,45,15
Colombia,01/11/17,2017,45,44
Martinique,01/12/17,2017,49,30
Paraguay,01/12/17,2017,49,3
Mexico,01/12/17,2017,49,20
Venezuela,01/12/17,2017,49,5
Bolivia,01/12/17,2017,49,72
Ecuador,01/12/17,2017,49,4
Peru,01/12/17,2017,49,67
Guatemala,01/12/17,2017,49,16
El Salvador,01/12/17,2017,49,33
Nicaragua,01/12/17,2017,49,27
Guadeloupe,01/12/17,2017,49,45
Costa Rica,01/12/17,2017,49,51
Colombia,01/12/17,2017,49,55
